행정구역(시군구)별,성별,연령별,인구 (명)
 강북구,계,40 - 44세,21075
 강북구,계,45 - 49세,25765
 강북구,계,50 - 54세,25879
 강북구,계,55 - 59세,26041.5
 강북구,계,60 - 64세,25090.5
 강북구,계,65 - 69세,18881.5
 강북구,계,70 - 74세,16001.5
 강북구,계,75 - 79세,13170.5
 강북구,계,80세 이상,12038
 강북구,계,80 - 84세,7678
 강북구,계,85세 이상,4360
 강북구,계,85 - 89세,3051
 강북구,계,90 - 94세,1037
 강북구,계,95 - 99세,246
 강북구,계,100세 이상,26
 강북구,남자,계,148976.5
 강북구,남자,0 - 4세,3669
 강북구,남자,5 - 9세,4883.5
 강북구,남자,10 - 14세,5221.5
 강북구,남자,15 - 19세,6486
 강북구,남자,20 - 24세,9447.5
 강북구,남자,25 - 29세,11620
 강북구,남자,30 - 34세,9712
 강북구,남자,35 - 39세,10991.5
 강북구,남자,40 - 44세,10901.5
 강북구,남자,45 - 49세,13046
 강북구,남자,50 - 54세,12658
 강북구,남자,55 - 59세,12590
